full_name,race,gender,age,job_title,state,city,zip_code,Salary,,,,,,
Codi Arch,Other,Male,56,Social Worker,New York,New York City,10275,"$40,287.51 ",,,,,,
Patsy Keech,White,Male,40,Statistician,New York,Buffalo,14233,"$103,617.59 ",,,,,,
Lari Elford,Other,Female,45,Assistant Manager,New York,Albany,12232,"$147,898.97 ",,,,,,
Jayme Valenti,White,Female,21,General Manager,New York,New York City,10060,"$169,120.26 ",,,,,,
Ulberto Uzzell,Hispanic,Male,57,Food Chemist,New York,Albany,12255,"$53,679.61 ",,,,,,
Lance Grain,White,Male,31,Paralegal,New York,Brooklyn,11241,"$95,920.39 ",,,,,,
Meier Quinnelly,Hispanic,Male,31,Software Developer,New York,Syracuse,13205,"$74,025.75 ",,,,,,
Winny Treadgear,White,Female,51,Human Resources,New York,Brooklyn,11210,"$286,544.68 ",,,,,,
Karl Winship,White,Male,46,Recruiting Manager,New York,New York City,10029,"$229,492.05 ",,,,,,
Beverlie Hutchinges,White,Female,46,Graphic Designer,New York,Buffalo,14263,"$279,538.06 ",,,,,,
Madella Stoffers,White,Female,60,VP Sales,New York,Buffalo,14263,"$188,857.44 ",,,,,,
Langsdon Bauckham,Hispanic,Male,62,Help Desk Operator,New York,Brooklyn,11241,"$291,373.02 ",,,,,,
Richardo Wingeatt,White,Male,61,Carpenter,New York,New York City,10160,"$255,637.03 ",,,,,,
Lanette Parade,White,Female,62,Technical Writer,New York,Albany,12247,"$94,422.47 ",,,,,,
Lon Ayto,Hispanic,Male,32,Administrative Officer,New York,Flushing,11388,"$171,996.53 ",,,,,,
Alisander McCarroll,White,Male,35,Account Coordinator,New York,Hicksville,11854,"$122,261.16 ",,,,,,
Norah McCrudden,Other,Female,35,VP Sales,New York,Albany,12242,"$60,148.18 ",,,,,,
Austina Coyne,White,Female,47,Environmental Tech,New York,Albany,12262,"$201,495.09 ",,,,,,
Colin Gagie,White,Male,29,Director of Sales,New York,Brooklyn,11236,"$75,081.06 ",,,,,,
Kellen Musgrove,Hispanic,Male,33,Librarian,New York,Bronx,10464,"$221,941.19 ",,,,,,
Peggie Roscrigg,White,Female,27,Sales Representative,New York,New York City,10110,"$280,337.94 ",,,,,,
Birgitta Agglione,White,Female,35,Librarian,New York,Brooklyn,11215,"$116,946.19 ",,,,,,
Tanhya Hallowes,Black,Female,60,Community Outreach Specialist,New York,Buffalo,14205,"$187,800.47 ",,,,,,
Yvon De Maine,Hispanic,Male,60,Food Chemist,New York,Bronx,10454,"$253,975.51 ",,,,,,
Wynn Asif,Hispanic,Male,56,Health Coach,New York,Great Neck,11024,"$37,636.01 ",,,,,,
Allayne Breffit,White,Male,25,Desktop Support Technician,New York,New York City,10120,"$67,334.03 ",,,,,,
Susanna Diggell,White,Female,20,Desktop Support Technician,New York,New York City,10280,"$90,625.30 ",,,,,,
Jeromy Zanini,White,Male,62,Database Administrator,New York,New York City,10165,"$68,789.36 ",,,,,,
Kaila Zellner,White,Female,29,VP Marketing,New York,New York City,10260,"$217,380.53 ",,,,,,
Delmer O'Coskerry,White,Male,37,Carpenter,New York,Jamaica,11499,"$153,822.03 ",,,,,,
Margaretha Slader,Black,Female,48,Systems Administrator,New York,New York City,10155,"$46,817.82 ",,,,,,
Sula Gainsborough,White,Female,25,Tax Accountant,New York,Schenectady,12325,"$200,691.81 ",,,,,,
Clarinda Gail,White,Female,33,Librarian,New York,Buffalo,14210,"$35,571.59 ",,,,,,
Clarabelle Wynne,Hispanic,Female,32,Food Chemist,New York,New York City,10165,"$239,945.98 ",,,,,,
Giorgi Aldins,White,Male,18,Legal Assistant,New York,Rochester,14614,"$166,925.66 ",,,,,,
Dorothy Brisset,Hispanic,Female,30,Teacher,New York,Staten Island,10305,"$181,753.45 ",,,,,,
Wanids Rideout,Hispanic,Female,41,Administrative Officer,New York,Rochester,14614,"$150,272.97 ",,,,,,
Ketti Siderfin,White,Female,70,Desktop Support Technician,New York,New York City,10014,"$65,271.66 ",,,,,,
Cyndy Gurrado,White,Female,51,Safety Technician,New York,New York City,10203,"$144,211.73 ",,,,,,
Easter Antoniat,Black,Female,68,Human Resources,New York,Elmira,14905,"$243,143.51 ",,,,,,
Romola Clew,White,Female,25,Desktop Support Technician,New York,New York City,10150,"$32,448.95 ",,,,,,
Eduardo Davys,White,Male,41,Assistant Professor,New York,Schenectady,12325,"$35,962.64 ",,,,,,
Mile Jefferies,White,Male,20,Web Designer,New York,Jamaica,11480,"$285,840.46 ",,,,,,
Roseanne Benit,White,Female,34,Recruiting Manager,New York,Brooklyn,11215,"$237,876.55 ",,,,,,
Thaddus Snowball,Hispanic,Male,49,Senior Financial Analyst,New York,Syracuse,13210,"$80,318.66 ",,,,,,
Wilmer Lethbridge,White,Male,27,Internal Auditor,New York,Brooklyn,11205,"$125,353.17 ",,,,,,
Vincent Starie,Hispanic,Male,39,Pharmacist,New York,New York City,10105,"$193,376.38 ",,,,,,
Doris Pennazzi,White,Female,58,Food Chemist,New York,Elmira,14905,"$163,394.60 ",,,,,,
Jordanna Joanaud,White,Female,55,Sales Representative,New York,New York City,10045,"$45,626.48 ",,,,,,
Juditha Wonter,Other,Female,30,Systems Administrator,New York,Albany,12247,"$58,978.24 ",,,,,,
Alford Essel,Hispanic,Male,24,Geologist,New York,Jamaica,11431,"$84,475.52 ",,,,,,
Trudi Yitzovitz,American Indian & Alaska Native,Female,64,Executive Assistant,New York,Staten Island,10305,"$260,757.45 ",,,,,,
Tyrus Cokly,White,Male,58,Software Developer,New York,New York City,10249,"$254,379.80 ",,,,,,
Julianna Batchelour,Hispanic,Female,24,Technical Writer,New York,Schenectady,12305,"$256,373.45 ",,,,,,
Bevvy Westfalen,White,Female,19,Human Resources,New York,Mount Vernon,10557,"$34,664.06 ",,,,,,
Tomlin Pollen,Black,Male,52,Associate Professor,New York,Bronx,10454,"$126,668.40 ",,,,,,
Port Littrik,White,Male,70,Software Developer,New York,White Plains,10606,"$253,837.62 ",,,,,,
Mannie Jeanneau,White,Male,53,Director of Sales,New York,New York City,10060,"$58,407.19 ",,,,,,
Carlynn Torrejon,Hispanic,Female,68,Junior Executive,New York,Rochester,14624,"$109,995.29 ",,,,,,
Evangeline McDaid,Asian,Female,43,Database Administrator,New York,New York City,10131,"$217,618.58 ",,,,,,
Spenser Surcombe,Black,Male,43,Environmental Specialist,New York,New York City,10105,"$124,474.50 ",,,,,,
Jemmie McCumesky,White,Female,64,Community Outreach Specialist,New York,New York City,10039,"$75,610.05 ",,,,,,
Teresita Itzkowicz,White,Female,38,Technical Writer,New York,Albany,12262,"$148,567.24 ",,,,,,
Rosabella Vasenin,White,Female,26,Software Developer,New York,New York City,10165,"$85,220.54 ",,,,,,
Bride Elmes,Black,Female,63,Executive Secretary,New York,Bronx,10454,"$191,854.60 ",,,,,,
Malinde Antonescu,Asian,Female,66,Senior Financial Analyst,New York,New York City,10292,"$132,870.66 ",,,,,,
Lorenzo Rapper,White,Male,59,Accountant,New York,New York City,10292,"$138,096.55 ",,,,,,
Ephraim Bramhall,Asian,Male,51,Staff Scientist,New York,Port Washington,11054,"$290,746.93 ",,,,,,
Cooper Addy,Hispanic,Male,34,Help Desk Operator,New York,Staten Island,10305,"$294,257.44 ",,,,,,
Lib Pyle,Hispanic,Female,50,Senior Editor,New York,New York City,10249,"$267,415.88 ",,,,,,
Nathan Ansty,White,Male,51,Paralegal,New York,Rochester,14614,"$281,533.09 ",,,,,,
Holt Grzeszczak,White,Male,33,VP Product Management,New York,Jamaica,11447,"$148,356.24 ",,,,,,
Lek Hanlon,White,Male,30,Registered Nurse,New York,Elmira,14905,"$134,046.34 ",,,,,,
Gisella Wehner,Black,Female,42,Software Developer,New York,Albany,12205,"$79,484.91 ",,,,,,
Lorne Quiddington,Black,Male,39,Help Desk Technician,New York,Rochester,14639,"$134,531.99 ",,,,,,
Ives Aldersey,White,Male,52,Software Developer,New York,New York City,10280,"$263,994.85 ",,,,,,
Lucretia Ondrusek,Hispanic,Female,68,Account Executive,New York,New York City,10165,"$87,766.71 ",,,,,,
Meriel Storrier,Hispanic,Female,45,Carpenter,New York,Rochester,14609,"$283,407.45 ",,,,,,
Renee Donaldson,Black,Female,63,Sales Associate,New York,New York City,10004,"$97,706.89 ",,,,,,
Rina Jellico,Hispanic,Female,23,Research Assistant,New York,Buffalo,14225,"$51,434.54 ",,,,,,
Robby Abad,Asian,Male,24,Desktop Support Technician,New York,New York City,10019,"$97,923.26 ",,,,,,
Sadie Fishbourn,Hispanic,Female,41,Editor,New York,Bronx,10464,"$74,850.91 ",,,,,,
Cordie Benning,White,Female,41,Environmental Tech,New York,New York City,10014,"$238,942.94 ",,,,,,
Wrennie MacCurley,White,Female,21,Carpenter,New York,New York City,10165,"$165,809.59 ",,,,,,
Wit Bevens,Black,Male,48,Software Developer,New York,Mount Vernon,10557,"$89,374.65 ",,,,,,
Huberto Dowty,Black,Male,57,Database Administrator,New York,Rochester,14614,"$235,502.75 ",,,,,,
Rodolfo Raffels,White,Male,29,Physical Therapy Assistant,New York,New York City,10110,"$248,013.24 ",,,,,,
Verna Bedow,Asian,Female,39,Librarian,New York,Albany,12205,"$121,030.07 ",,,,,,
Darrel Davitt,Hispanic,Male,45,Environmental Tech,New York,Hicksville,11854,"$193,635.90 ",,,,,,
Grace Glayzer,White,Male,44,Tax Accountant,New York,Buffalo,14220,"$161,659.43 ",,,,,,
Adriane Terzo,White,Female,51,Environmental Tech,New York,New York City,10029,"$41,049.56 ",,,,,,
Nat Snell,White,Male,59,VP Product Management,New York,Syracuse,13205,"$63,100.49 ",,,,,,
Adelina Cartmael,White,Female,60,Carpenter,New York,Great Neck,11024,"$194,872.09 ",,,,,,
Olia Laidel,White,Female,67,Automation Specialist,New York,White Plains,10633,"$91,933.98 ",,,,,,
Melisande Beams,White,Female,58,General Manager,New York,New York City,10039,"$272,955.81 ",,,,,,
Ailyn Demke,White,Female,50,Sales Representative,New York,Rochester,14604,"$117,702.36 ",,,,,,
Lek Blackborough,White,Male,56,Research Associate,New York,Syracuse,13205,"$254,455.29 ",,,,,,
Winnie Attow,Asian,Male,63,Paralegal,New York,New York City,10009,"$85,099.40 ",,,,,,
Oran Tenney,Hispanic,Male,41,Carpenter,New York,Staten Island,10310,"$294,636.84 ",,,,,,
Kettie Bonson,White,Female,47,Carpenter,New York,Buffalo,14210,"$69,547.80 ",,,,,,
Serge Maggill'Andreis,Hispanic,Male,47,Quality Control Specialist,New York,New York City,10115,"$27,024.99 ",,,,,,
Teddie Wanstall,Black,Male,20,Statistician,New York,Albany,12237,"$44,342.97 ",,,,,,
Allen Andreolli,Hispanic,Male,54,Carpenter,New York,Rochester,14624,"$93,893.85 ",,,,,,
Fanny Pinsent,White,Female,41,Recruiting Manager,New York,Buffalo,14215,"$221,883.23 ",,,,,,
Nert Snape,White,Female,46,Health Coach,New York,Great Neck,11024,"$78,996.47 ",,,,,,
Briana Granger,White,Female,27,Senior Cost Accountant,New York,Albany,12237,"$193,022.59 ",,,,,,
Alano Lancley,American Indian & Alaska Native,Male,49,Account Executive,New York,New York City,10260,"$264,919.86 ",,,,,,
Cecelia Sayles,Hispanic,Female,51,Health Coach,New York,Flushing,11355,"$190,315.16 ",,,,,,
Rafi Shalliker,White,Male,40,Pharmacist,New York,Brooklyn,11225,"$232,072.41 ",,,,,,
Bobette McAlindon,White,Female,28,Marketing Assistant,New York,New York City,10060,"$204,487.69 ",,,,,,
Skell Stobie,Black,Male,56,Software Developer,New York,Brooklyn,11254,"$78,254.27 ",,,,,,
Cherry Havard,Other,Female,65,Carpenter,New York,Jamaica,11407,"$71,086.93 ",,,,,,
Constancia Van Weedenburg,White,Female,67,Software Developer,New York,New Hyde Park,11044,"$91,644.58 ",,,,,,
Giacomo Enever,Hispanic,Male,45,Database Administrator,New York,Schenectady,12305,"$55,435.84 ",,,,,,
Myranda Malan,White,Female,61,Pharmacist,New York,Hicksville,11854,"$214,371.26 ",,,,,,
Darby Jewess,Hispanic,Male,38,VP Accounting,New York,Syracuse,13210,"$177,456.84 ",,,,,,
Charlton Grubbe,White,Male,70,Recruiter,New York,Syracuse,13251,"$174,888.74 ",,,,,,
Elwira Kitman,White,Female,22,Senior Editor,New York,Schenectady,12305,"$261,948.84 ",,,,,,
Leda Vallintine,Asian,Female,59,Associate Professor,New York,New York City,10125,"$150,457.18 ",,,,,,
Ebonee Iacovolo,Hispanic,Female,66,Graphic Designer,New York,Brooklyn,11205,"$126,838.25 ",,,,,,
Josselyn McMenamie,White,Female,28,Social Worker,New York,New York City,10120,"$225,411.73 ",,,,,,
Gram Phinn,White,Male,42,Senior Financial Analyst,New York,Yonkers,10705,"$187,588.54 ",,,,,,
Donall Fibbit,Black,Male,35,Account Executive,New York,Brooklyn,11215,"$110,121.76 ",,,,,,
Carmine Bazell,White,Male,52,Recruiter,New York,New York City,10115,"$52,858.76 ",,,,,,
Allard Mariette,Asian,Male,37,Carpenter,New York,Brooklyn,11215,"$158,377.24 ",,,,,,
Man Fendlow,White,Male,49,Senior Cost Accountant,New York,Brooklyn,11236,"$296,329.02 ",,,,,,
Karel Molder,White,Male,61,Biostatistician,New York,Syracuse,13205,"$165,050.56 ",,,,,,
Stephani Fruin,Black,Female,52,Physical Therapy Assistant,New York,Jamaica,11480,"$246,761.56 ",,,,,,
Herman McCahill,Black,Male,64,Software Developer,New York,Syracuse,13251,"$185,763.21 ",,,,,,
Mabel Every,White,Female,63,Quality Control Specialist,New York,Brooklyn,11225,"$225,592.01 ",,,,,,
Ilyse Lovejoy,White,Female,36,Research Associate,New York,Jamaica,11480,"$199,060.28 ",,,,,,
Melitta Kennett,White,Female,58,Environmental Tech,New York,New York City,10034,"$160,791.98 ",,,,,,
Celestyn Burress,White,Female,26,Statistician,New York,Albany,12247,"$182,515.79 ",,,,,,
Vincents Whittlesey,White,Male,54,Assistant Manager,New York,New York City,10150,"$299,207.07 ",,,,,,
Cece Clutterbuck,White,Male,33,Professor,New York,Buffalo,14269,"$214,313.04 ",,,,,,
Jobi Maeer,White,Female,61,Account Executive,New York,New York City,10039,"$189,669.29 ",,,,,,
Brantley Jedrychowski,Hispanic,Male,27,Software Developer,New York,New York City,10014,"$119,103.29 ",,,,,,
Janith Adolfsen,White,Female,61,Carpenter,New York,New York City,10034,"$249,952.50 ",,,,,,
Krispin Collyer,Other,Male,57,Carpenter,New York,Jamaica,11499,"$266,857.73 ",,,,,,
Sybila Litterick,White,Female,23,Desktop Support Technician,New York,New York City,10280,"$99,880.56 ",,,,,,
Shela Cratere,Asian,Female,26,VP Marketing,New York,Schenectady,12325,"$159,704.03 ",,,,,,
Angela Walesa,Asian,Female,22,Research Associate,New York,Buffalo,14205,"$98,636.92 ",,,,,,
Mirilla Arnot,White,Female,53,Help Desk Operator,New York,Yonkers,10705,"$29,498.80 ",,,,,,
Gerri Jorin,White,Female,46,Web Designer,New York,Brooklyn,11215,"$104,494.00 ",,,,,,
Tybi Kienzle,White,Female,65,Food Chemist,New York,New York City,10060,"$292,518.41 ",,,,,,
Weylin Chellam,White,Male,37,Tax Accountant,New York,Albany,12232,"$148,038.81 ",,,,,,
Angelique Storton,White,Female,46,GIS Technical Architect,New York,Yonkers,10705,"$91,755.79 ",,,,,,
Elroy Buy,White,Male,61,Librarian,New York,Schenectady,12325,"$76,965.04 ",,,,,,
Abeu Klazenga,White,Male,68,Desktop Support Technician,New York,Syracuse,13205,"$138,073.50 ",,,,,,
Dulcie Beinisch,White,Female,28,Help Desk Operator,New York,Rochester,14614,"$157,752.90 ",,,,,,
Even Queyeiro,Hispanic,Male,47,Software Developer,New York,Albany,12205,"$283,122.46 ",,,,,,
Vite Cumpton,White,Male,46,Statistician,New York,New York City,10034,"$203,494.32 ",,,,,,
Nickie Penner,White,Male,52,Accountant,New York,Rochester,14614,"$38,738.84 ",,,,,,
Regine Dutton,Hispanic,Female,66,Automation Specialist,New York,Brooklyn,11241,"$101,383.18 ",,,,,,
Leta Dover,White,Female,21,Office Assistant,New York,Brooklyn,11210,"$217,670.22 ",,,,,,
Shalom Enderson,White,Male,56,Tax Accountant,New York,Syracuse,13251,"$259,297.67 ",,,,,,
Gaylor Beadles,White,Male,65,Clinical Specialist,New York,Syracuse,13217,"$213,580.86 ",,,,,,
Nickolas Binion,Black,Male,55,Sales Associate,New York,Syracuse,13210,"$82,912.99 ",,,,,,
Arther Lilly,Hispanic,Male,48,Software Developer,New York,Albany,12255,"$210,843.29 ",,,,,,
Tanya De la Barre,Hispanic,Female,67,Carpenter,New York,New York City,10004,"$249,087.06 ",,,,,,
Tessi Balfour,White,Female,49,Clinical Specialist,New York,New York City,10292,"$124,024.37 ",,,,,,
Lonnard Tuffin,Hispanic,Male,21,Occupational Therapist,New York,Brooklyn,11210,"$292,963.19 ",,,,,,
Carmen Jockle,Hispanic,Female,42,Sales Representative,New York,New Hyde Park,11044,"$99,444.45 ",,,,,,
Edwina Gunningham,White,Female,51,Food Chemist,New York,Schenectady,12325,"$259,351.31 ",,,,,,
Ike Janew,Hispanic,Male,60,Office Assistant,New York,Albany,12247,"$116,696.86 ",,,,,,
Annora Pugsley,Asian,Female,62,Operator,New York,New York City,10029,"$42,287.74 ",,,,,,
Whitney Emanueli,White,Female,45,Carpenter,New York,Schenectady,12305,"$60,824.73 ",,,,,,
Sibby Skelbeck,Black,Female,48,Junior Executive,New York,New York City,10019,"$162,442.63 ",,,,,,
Calley Ochiltree,Hispanic,Female,64,Technical Writer,New York,Rochester,14609,"$130,633.75 ",,,,,,
Sollie Cerie,Asian,Male,68,Sales Representative,New York,Rochester,14652,"$40,952.20 ",,,,,,
Brent Denison,Hispanic,Male,61,Research Associate,New York,Buffalo,14215,"$28,696.46 ",,,,,,
Aldridge Orpwood,Asian,Male,19,Safety Technician,New York,New York City,10079,"$264,131.71 ",,,,,,
Marlo Spendley,White,Male,28,Software Developer,New York,Yonkers,10705,"$148,163.23 ",,,,,,
Burr Rayhill,White,Male,56,Community Outreach Specialist,New York,Albany,12205,"$214,569.14 ",,,,,,
Babb Rodenburgh,White,Female,65,Tax Accountant,New York,Rochester,14652,"$187,167.17 ",,,,,,
Bianka MacKinnon,Asian,Female,45,Human Resources,New York,New York City,10170,"$194,703.27 ",,,,,,
Eddy Bumphries,White,Female,27,Teacher,New York,Albany,12255,"$29,007.41 ",,,,,,
Humberto Airey,White,Male,60,Software Developer,New York,Jamaica,11499,"$100,059.77 ",,,,,,
Monti Melly,Black,Male,34,Software Developer,New York,Elmira,14905,"$150,633.39 ",,,,,,
Jehu Jerke,Black,Male,70,Physical Therapy Assistant,New York,New York City,10115,"$83,936.81 ",,,,,,
Chiarra Blonden,White,Female,31,Financial Analyst,New York,Brooklyn,11225,"$39,657.22 ",,,,,,
Mace Boultwood,White,Male,65,Carpenter,New York,New York City,10045,"$63,076.66 ",,,,,,
Moore Wakerley,White,Male,28,Carpenter,New York,Buffalo,14269,"$98,450.93 ",,,,,,
Mischa Rawlinson,White,Male,64,VP Sales,New York,New York City,10009,"$95,682.32 ",,,,,,
Roobbie Winspare,White,Female,45,Business Systems Development Analyst,New York,Albany,12227,"$201,501.64 ",,,,,,
Willard Taphouse,Black,Male,35,Project Manager,New York,Buffalo,14276,"$101,575.82 ",,,,,,
Mable Serotsky,White,Female,27,Professor,New York,Rochester,14639,"$29,281.73 ",,,,,,
Rosaline Cadlock,White,Female,33,Payment Adjustment Coordinator,New York,Brooklyn,11231,"$94,806.06 ",,,,,,
Alene Camin,White,Female,34,Buget Analyst,New York,Brooklyn,11210,"$73,810.31 ",,,,,,
Nance Lording,White,Female,65,Safety Technician,New York,Syracuse,13217,"$181,598.32 ",,,,,,
Quintina Kinig,White,Female,68,Editor,New York,New York City,10175,"$251,670.47 ",,,,,,
Lucien Minster,White,Male,21,Speech Pathologist,New York,Rochester,14652,"$192,174.35 ",,,,,,
Elnore Thorns,White,Female,45,Web Designer,New York,Brooklyn,11215,"$74,678.13 ",,,,,,
Friedrich Hindge,Black,Male,44,Carpenter,New York,Brooklyn,11215,"$31,696.48 ",,,,,,
Eugen Gard,White,Male,31,Help Desk Technician,New York,New York City,10110,"$141,146.60 ",,,,,,
Jimmie Broe,White,Male,30,Carpenter,New York,New York City,10280,"$204,759.11 ",,,,,,
Dirk Brydson,White,Male,42,Carpenter,New York,New York City,10125,"$42,122.17 ",,,,,,
Hanna Yerrill,Black,Female,39,Research Associate,New York,Port Washington,11054,"$241,421.80 ",,,,,,
Ashlee Banfield,Asian,Female,25,VP Sales,New York,New York City,10019,"$141,469.87 ",,,,,,
Brian Corde,White,Male,21,Executive Assistant,New York,Rochester,14609,"$101,268.51 ",,,,,,
Kynthia Corro,Hispanic,Female,31,Recruiter,New York,Jamaica,11499,"$227,486.49 ",,,,,,
Audre Tench,Hispanic,Female,27,Sales Associate,New York,Elmira,14905,"$219,924.37 ",,,,,,
Daniel Oblein,Hispanic,Male,37,Software Consultant,New York,New York City,10045,"$191,572.70 ",,,,,,
Dominga Gazey,Black,Female,59,Nurse Practicioner,New York,New York City,10275,"$205,109.35 ",,,,,,
Ethe Honsch,White,Male,45,Administrative Officer,New York,Syracuse,13217,"$229,813.99 ",,,,,,
Jemie Romayne,White,Female,31,Administrative Officer,New York,New York City,10004,"$291,388.88 ",,,,,,
Wilmer Pugsley,Hispanic,Male,39,Nurse Practicioner,New York,Albany,12227,"$157,050.17 ",,,,,,
Georgeanne Halburton,White,Female,21,Legal Assistant,New York,New York City,10039,"$118,326.93 ",,,,,,
Timmi Beynkn,Black,Female,56,Statistician,New York,Brooklyn,11225,"$204,736.18 ",,,,,,
Belia Maldin,White,Female,29,Staff Scientist,New York,New York City,10115,"$91,970.32 ",,,,,,
Terese Allan,White,Female,53,Administrative Officer,New York,Schenectady,12305,"$149,786.19 ",,,,,,
Wyatt Towns,White,Male,20,Web Designer,New York,Hicksville,11854,"$58,828.29 ",,,,,,
Julian Ronaldson,White,Male,69,Software Developer,New York,New York City,10260,"$244,445.81 ",,,,,,
Alaric Thorowgood,White,Male,36,Research Associate,New York,Staten Island,10305,"$157,465.32 ",,,,,,
Karina Thoma,Black,Female,36,Account Coordinator,New York,New York City,10170,"$82,373.20 ",,,,,,
Chaddy Carek,Black,Male,55,Administrative Officer,New York,Buffalo,14205,"$76,413.20 ",,,,,,
Latia Recher,White,Female,41,Research Associate,New York,Buffalo,14205,"$45,089.66 ",,,,,,
Rebecka Clougher,Hispanic,Female,46,Recruiter,New York,Albany,12255,"$115,231.98 ",,,,,,
Robert Taphouse,White,Male,19,Account Executive,New York,Brooklyn,11231,"$262,497.24 ",,,,,,
Shane Ricardet,Black,Male,49,Software Developer,New York,New York City,10160,"$152,088.26 ",,,,,,
Iggie Roistone,White,Male,18,Occupational Therapist,New York,New York City,10014,"$154,240.11 ",,,,,,
Kass Horsburgh,White,Female,59,Paralegal,New York,New York City,10260,"$140,335.88 ",,,,,,
Pietrek McGarva,White,Male,64,Software Developer,New York,Brooklyn,11241,"$289,650.49 ",,,,,,
Filmore Fermer,White,Male,67,Payment Adjustment Coordinator,New York,Buffalo,14263,"$86,002.41 ",,,,,,
Andrei Hasnip,White,Female,59,Human Resources,New York,Schenectady,12305,"$88,926.19 ",,,,,,
Penelopa Fonzo,White,Female,48,Safety Technician,New York,Buffalo,14263,"$223,811.78 ",,,,,,
Merrilee Cleverley,White,Female,57,Software Developer,New York,New York City,10175,"$68,816.69 ",,,,,,
Sterling Haestier,White,Male,42,Editor,New York,Buffalo,14269,"$273,822.22 ",,,,,,
Dudley Soloway,Black,Male,63,Physical Therapy Assistant,New York,New York City,10079,"$31,695.65 ",,,,,,
Teodoro Lafay,Hispanic,Male,44,Technical Writer,New York,Brooklyn,11220,"$198,568.91 ",,,,,,
Roderick Emlen,White,Male,60,Software Developer,New York,New York City,10024,"$160,882.71 ",,,,,,
Milt Jenne,White,Male,43,Quality Control Specialist,New York,Staten Island,10305,"$98,291.30 ",,,,,,
Maureen Skett,White,Female,65,Nurse,New York,Staten Island,10305,"$176,449.36 ",,,,,,
Lynelle Georger,White,Female,47,Accountant,New York,Jamaica,11436,"$220,837.38 ",,,,,,
Glenn Stockell,Black,Female,66,Software Developer,New York,New York City,10014,"$229,299.85 ",,,,,,
Nady Nozzolinii,White,Female,69,Associate Professor,New York,Flushing,11355,"$160,629.59 ",,,,,,
Arnoldo Jonczyk,White,Male,35,Assistant Manager,New York,Jamaica,11499,"$275,656.24 ",,,,,,
Weider Thunnerclef,White,Male,32,Financial Analyst,New York,White Plains,10606,"$293,636.52 ",,,,,,
Alysa Cramer,White,Female,56,Carpenter,New York,Syracuse,13251,"$263,227.25 ",,,,,,
Octavius Jakubowicz,Black,Male,26,Help Desk Technician,New York,New York City,10024,"$55,876.97 ",,,,,,
Willem Whyler,White,Male,34,Sales Representative,New York,New York City,10060,"$201,572.54 ",,,,,,
Cindy Larrad,White,Female,31,Administrative Officer,New York,New York City,10014,"$109,040.68 ",,,,,,
Lark Carnaman,White,Female,31,Media Manager,New York,New York City,10150,"$269,139.50 ",,,,,,
Stuart Hebborne,White,Male,21,Senior Sales Associate,New York,Albany,12210,"$102,013.73 ",,,,,,
Gina Saice,White,Female,52,Electrician,New York,New York City,10249,"$61,631.69 ",,,,,,
Lynde Eadie,White,Female,51,Recruiter,New York,New York City,10004,"$299,677.78 ",,,,,,
Ashil Capelen,Hispanic,Female,25,Sales Representative,New York,Yonkers,10705,"$269,376.10 ",,,,,,
Carter Lukock,Black,Male,52,Welder,New York,Staten Island,10305,"$46,406.43 ",,,,,,
Gordy Lahive,White,Male,64,Graphic Designer,New York,Albany,12227,"$101,282.38 ",,,,,,
Abbe Farren,Hispanic,Female,62,VP Quality Control,New York,Brooklyn,11215,"$59,740.32 ",,,,,,
Nikolos Mountlow,Hispanic,Male,29,Biostatistician,New York,New York City,10099,"$66,224.86 ",,,,,,
Violetta Robbey,Hispanic,Female,50,Financial Advisor,New York,Hicksville,11854,"$162,657.57 ",,,,,,
Tait Khadir,White,Male,35,Senior Financial Analyst,New York,New York City,10249,"$78,313.67 ",,,,,,
Oralee Eales,White,Female,70,Senior Cost Accountant,New York,Jamaica,11499,"$294,145.23 ",,,,,,
Paxton Pickup,Hispanic,Male,18,Research Assistant,New York,New York City,10203,"$58,028.05 ",,,,,,
Staci Streatfeild,White,Female,51,Senior Financial Analyst,New York,Brooklyn,11231,"$126,546.73 ",,,,,,
Judah Hansmann,White,Male,44,Welder,New York,Jamaica,11407,"$292,634.60 ",,,,,,
Yule Shambrook,White,Male,32,Welder,New York,Albany,12262,"$180,227.75 ",,,,,,
Belicia Waller,White,Female,48,Pharmacist,New York,Brooklyn,11225,"$196,434.00 ",,,,,,
Allin Earie,White,Male,35,Research Associate,New York,Brooklyn,11220,"$271,300.71 ",,,,,,
Arel Fortnon,White,Male,41,Software Developer,New York,New York City,10110,"$220,452.70 ",,,,,,
Inger Hullyer,White,Female,38,Administrative Officer,New York,Yonkers,10705,"$297,337.32 ",,,,,,
Jillana Room,White,Female,20,Paralegal,New York,New York City,10019,"$146,819.58 ",,,,,,
Kiri Mogra,White,Female,63,Account Coordinator,New York,New York City,10024,"$291,704.30 ",,,,,,
Davide Voice,White,Male,28,Junior Executive,New York,Brooklyn,11220,"$128,589.02 ",,,,,,
Kikelia Frusher,White,Female,31,Buget Analyst,New York,Buffalo,14215,"$39,664.41 ",,,,,,
Nicolette Search,Asian,Female,35,Editor,New York,Albany,12227,"$71,174.63 ",,,,,,
Taylor Haydon,White,Male,47,Quality Control Specialist,New York,Buffalo,14276,"$180,792.72 ",,,,,,
Stephenie Dooher,White,Female,45,Cost Accountant,New York,Buffalo,14269,"$186,571.16 ",,,,,,
Brad Duncanson,Black,Male,68,Speech Pathologist,New York,Staten Island,10305,"$110,605.51 ",,,,,,
